Time [s], Analyzer Name, Decoded Protocol Result
0.002237156250000,I2S / PCM,Ch 1: 0x000068
0.002247593750000,I2S / PCM,Ch 2: 0xFFFFB0
0.002258000000000,I2S / PCM,Ch 1: 0x0002A1
0.002268437500000,I2S / PCM,Ch 2: 0x000314
0.002278875000000,I2S / PCM,Ch 1: 0x0001E1
0.002289281250000,I2S / PCM,Ch 2: 0x0002A3
0.002299718750000,I2S / PCM,Ch 1: 0x0000DE
0.002310125000000,I2S / PCM,Ch 2: 0x00016E
0.002320562500000,I2S / PCM,Ch 1: 0x0000F1
0.002330968750000,I2S / PCM,Ch 2: 0xFFFF86
0.002341406250000,I2S / PCM,Ch 1: 0xFFFC81
0.002351812500000,I2S / PCM,Ch 2: 0xFFFB6F
0.002362250000000,I2S / PCM,Ch 1: 0x000462
0.002372656250000,I2S / PCM,Ch 2: 0x0002B1
0.002383093750000,I2S / PCM,Ch 1: 0x000036
0.002393500000000,I2S / PCM,Ch 2: 0x0005D9
0.002403937500000,I2S / PCM,Ch 1: 0xFFFED8
0.002414343750000,I2S / PCM,Ch 2: 0xFFFFD7
0.002424781250000,I2S / PCM,Ch 1: 0x0003AC
0.002435218750000,I2S / PCM,Ch 2: 0x000436
0.002445625000000,I2S / PCM,Ch 1: 0x0001E1
0.002456062500000,I2S / PCM,Ch 2: 0x0002A3
0.002466468750000,I2S / PCM,Ch 1: 0x0000DE
0.002476906250000,I2S / PCM,Ch 2: 0x000392
0.002487312500000,I2S / PCM,Ch 1: 0xFFFEDE
0.002497750000000,I2S / PCM,Ch 2: 0xFFFEB5
0.002508156250000,I2S / PCM,Ch 1: 0x000208
0.002518593750000,I2S / PCM,Ch 2: 0x0001CE
0.002529000000000,I2S / PCM,Ch 1: 0x00020C
0.002539437500000,I2S / PCM,Ch 2: 0x000216
0.002549843750000,I2S / PCM,Ch 1: 0x0006A9
0.002560281250000,I2S / PCM,Ch 2: 0x0005D9
0.002570687500000,I2S / PCM,Ch 1: 0xFFFED8
0.002581125000000,I2S / PCM,Ch 2: 0xFFFFD7
0.002591562500000,I2S / PCM,Ch 1: 0x0003AC
0.002601968750000,I2S / PCM,Ch 2: 0x000436
0.002612406250000,I2S / PCM,Ch 1: 0xFFFC9B
0.002622812500000,I2S / PCM,Ch 2: 0xFFFEBD
0.002633250000000,I2S / PCM,Ch 1: 0x0000CF
0.002643656250000,I2S / PCM,Ch 2: 0xFFFEF1
0.002654093750000,I2S / PCM,Ch 1: 0x000492
0.002664500000000,I2S / PCM,Ch 2: 0x000492
0.002674937500000,I2S / PCM,Ch 1: 0x0005A6
0.002685343750000,I2S / PCM,Ch 2: 0x00017E
0.002695781250000,I2S / PCM,Ch 1: 0x000347
